date,category,sales,sales_capped
2024-01-01,Clothing,866.75,866.75
2024-01-02,Clothing,1035.49,1035.49
2024-01-03,Clothing,945.73,945.73
2024-01-04,Clothing,1054.89,1054.89
2024-01-05,Clothing,1045.17,1045.17
2024-01-06,Clothing,1451.23,1451.23
2024-01-07,Clothing,1460.77,1460.77
2024-01-08,Clothing,1043.41,1043.41
2024-01-09,Clothing,1006.72,1006.72
2024-01-10,Clothing,1014.84,1014.84
2024-01-11,Clothing,900.89,900.89
2024-01-12,Clothing,1054.47,1054.47
2024-01-13,Clothing,1447.84,1447.84
2024-01-14,Clothing,1365.21,1365.21
2024-01-15,Clothing,965.92,965.92
2024-01-16,Clothing,1028.91,1028.91
2024-01-17,Clothing,1130.02,1130.02
2024-01-18,Clothing,1027.72,1027.72
2024-01-19,Clothing,925.42,925.42
2024-01-20,Clothing,1633.0,1633.0
2024-01-21,Clothing,1515.6,1515.6
2024-01-22,Clothing,990.62,990.62
2024-01-23,Clothing,941.98,941.98
2024-01-24,Clothing,946.48,946.48
2024-01-25,Clothing,1095.57,1095.57
2024-01-26,Clothing,990.67,990.67
2024-01-27,Clothing,1474.21,1474.21
2024-01-28,Clothing,1475.65,1475.65
2024-01-29,Clothing,1100.83,1100.83
2024-01-30,Clothing,971.22,971.22
2024-01-31,Clothing,1044.04,1044.04
2024-02-01,Clothing,1022.04,1022.04
2024-02-02,Clothing,1020.08,1020.08
2024-02-03,Clothing,1450.39,1450.39
2024-02-04,Clothing,1541.7,1541.7
2024-02-05,Clothing,1100.85,1100.85
2024-02-06,Clothing,1000.63,1000.63
2024-02-07,Clothing,947.94,947.94
2024-02-08,Clothing,924.95,924.95
2024-02-09,Clothing,1013.13,1013.13
2024-02-10,Clothing,1250.375,1250.375
2024-02-11,Clothing,1487.62,1487.62
2024-02-12,Clothing,999.82,999.82
2024-02-13,Clothing,909.6,909.6
2024-02-14,Clothing,1044.0,1044.0
2024-02-15,Clothing,1010.09,1010.09
2024-02-16,Clothing,990.42,990.42
2024-02-17,Clothing,1497.43,1497.43
2024-02-18,Clothing,1537.07,1537.07
2024-02-19,Clothing,994.38,994.38
2024-02-20,Clothing,938.81,938.81
2024-02-21,Clothing,1058.4,1058.4
2024-02-22,Clothing,960.98,960.98
2024-02-23,Clothing,941.95,941.95
2024-02-24,Clothing,1374.08,1374.08
2024-02-25,Clothing,1465.72,1465.72
2024-02-26,Clothing,917.82,917.82
2024-02-27,Clothing,947.84,947.84
2024-02-28,Clothing,1004.2,1004.2
2024-02-29,Clothing,977.44,977.44
2024-03-01,Clothing,1222.0900000000001,1222.0900000000001
2024-03-02,Clothing,1466.74,1466.74
2024-03-03,Clothing,1421.15,1421.15
2024-03-04,Clothing,948.03,948.03
2024-03-05,Clothing,935.35,935.35
2024-03-06,Clothing,1002.51,1002.51
2024-03-07,Clothing,962.91,962.91
2024-03-08,Clothing,934.82,934.82
2024-03-09,Clothing,1476.42,1476.42
2024-03-10,Clothing,1428.01,1428.01
2024-03-11,Clothing,924.85,924.85
2024-03-12,Clothing,859.73,859.73
2024-03-13,Clothing,974.38,974.38
2024-03-14,Clothing,960.07,960.07
2024-03-15,Clothing,946.4,946.4
2024-03-16,Clothing,1374.0,1374.0
2024-03-17,Clothing,1346.15,1346.15
2024-03-18,Clothing,922.24,922.24
2024-03-19,Clothing,947.17,947.17
2024-03-20,Clothing,923.02,923.02
2024-03-21,Clothing,919.38,919.38
2024-03-22,Clothing,897.32,897.32
2024-03-23,Clothing,1392.12,1392.12
2024-03-24,Clothing,1381.59,1381.59
2024-03-25,Clothing,872.12,872.12
2024-03-26,Clothing,960.12,960.12
2024-03-27,Clothing,959.18,959.18
2024-03-28,Clothing,957.7,957.7
2024-03-29,Clothing,898.2,898.2
